t,E0,E1,E2,E3,E4,E5,E6,E7
2.742474916387959816e+00,-2.183501992026238181e+00,-2.183454908680901863e+00,-8.062011799146671098e-01,-8.061540965693273497e-01,-7.257995917065400704e-01,-7.257525083612005323e-01,-6.515483037503675412e-01,-6.515012204050280031e-01
2.775919732441471499e+00,-2.173652323013719023e+00,-2.173602220759045967e+00,-8.038832297501113944e-01,-8.038331274954344519e-01,-7.224581290105263065e-01,-7.224080267558494750e-01,-6.473610665077556003e-01,-6.473109642530787688e-01
2.809364548494983183e+00,-2.163806307842689680e+00,-2.163753020910395009e+00,-8.015666822739263564e-01,-8.015133953416289092e-01,-7.191168320827954208e-01,-7.190635451504983067e-01,-6.431760804182630187e-01,-6.431227934859660156e-01
2.842809364548494866e+00,-2.153964000892666153e+00,-2.153907355598710271e+00,-7.992515514914267927e-01,-7.991949061974679136e-01,-7.157757088391073497e-01,-7.157190635451465832e-01,-6.389933858560903346e-01,-6.389367405621317886e-01
2.876254180602006549e+00,-2.144125457674828983e+00,-2.144065272075772022e+00,-7.969378515884039116e-01,-7.968776659893439529e-01,-7.124347675388554846e-01,-7.123745819397958590e-01,-6.348130241466272139e-01,-6.347528385475676993e-01
2.909698996655518233e+00,-2.134290734862375860e+00,-2.134226818397197079e+00,-7.946255969339226510e-01,-7.945616804687405388e-01,-7.090940167996268029e-01,-7.090301003344450237e-01,-6.306350375940055208e-01,-6.305711211288237417e-01
2.943143812709029916e+00,-2.124459890321873878e+00,-2.124392043438608102e+00,-7.923148020831785043e-01,-7.922469551999103965e-01,-7.057534656123629624e-01,-7.056856187290944105e-01,-6.264594695095991872e-01,-6.263916226263314124e-01
2.976588628762541600e+00,-2.114632983145626532e+00,-2.114560996912166591e+00,-7.900054817803928708e-01,-7.899334955469282660e-01,-7.024131233572069588e-01,-7.023411371237430201e-01,-6.222863642414891983e-01,-6.222143780080251485e-01
3.010033444816053283e+00,-2.104810073685116301e+00,-2.104733729383460261e+00,-7.876976509617675815e-01,-7.876213066601085444e-01,-6.990729998200512219e-01,-6.989966555183921848e-01,-6.181157672049546470e-01,-6.180394229032958320e-01
3.043478260869564966e+00,-2.094991223585546791e+00,-2.094910292288806097e+00,-7.853913247584937141e-01,-7.853103934617480242e-01,-6.957331052097862623e-01,-6.956521739130407944e-01,-6.139477249140109505e-01,-6.138667936172655937e-01
